"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1651,642547,"Peralta, Freddy",3089,53.4,0.209,0.171,0.239,0.381,0.309,0.348,0.242,71,339,91,22.3,2441,94.8,95.4,178,780,871,0.6000000000000085,6.8,114,149,122,151,303,328,300,"9.25","-9.25","68.8","6.6",395,249,45,10,0,16,93,23.5,45,11.4,1.15686,1.39627,0.38523,-0.03333,"91.4",198,41.6,12.8,8.10126582278481,5.42,-3.37,-0.21,2.91,0.315,32,"-0.560266505",0.343,0.455,"0.560266505",-0.033,-0.028000000000000025,-0.074,-0.039,22.8,"41.4",3.852009169278392,8.929383714942754,30.923736350330415,0.4489528795811518,35.67868503589335,23.103558301689198
1628,592332,"Gausman, Kevin",3038,53.6,0.23,0.149,0.26,0.38,0.298,0.339,0.263,91,395,91.9,21.1,2260,94.5,94.69,147,870,758,0.20000000000000284,6.65,111,149,116,149,294,324,295,"20.427","-20.427","70.8","6.8",437,313,58,20,0,13,83,19,36,8.2,1.17663,1.40138,0.92487,0.01713,"91.8",200,46.64536741214057,9.26517571884984,6.636155606407322,5.81,-2.43,-0.18,2.42,0.299,29,"-1.25472973",0.328,0.455,"1.25472973",-0.033,-0.029000000000000026,-0.075,-0.041,16.9,"38.4",3.1416915453949223,7.98858074840062,33.20069858837352,0.39953271028037385,35.61435888968669,22.77091217732358
1595,592662,"Ray, Robbie",3072,51.9,0.208,0.15,0.257,0.357,0.291,0.299,0.211,75,361,91.1,24.3,2360,93.6,93.14,194,826,769,-0.5,6.15,109,150,120,148,294,324,293,"8.914","-8.914","69.1","6.7",415,258,46,16,1,12,108,26,46,11.1,1.10283,1.51354,0.6875,-0.32682,"91.3",203,44.74708171206226,10.505836575875486,6.506024096385541,6.22,2.57,0.11,3.1,0.3,27,"-0.558871473",0.303,0.373,"0.558871473",-0.003,-0.0030000000000000027,-0.016,-0.008,23.5,"47.0",4.921964753842217,9.712680723613023,28.78093340298182,0.4956736711990111,36.83433077313459,22.79689254660581
1526,669194,"Nelson, Ryne",2467,61.9,0.207,0.153,0.243,0.36,0.277,0.311,0.245,77,372,91.2,16.1,2270,95.7,96.66,160,836,690,1,6.9,112,149,119,150,301,324,298,"22.98","-22.98","69.5","6.6",405,280,47,15,3,12,92,22.7,31,7.7,0.89626,1.59873,0.27119,0.00653,"91.5",197,45.357142857142854,7.5,5.185185185185185,6.2,-1.15,0,2.84,0.272,21,"-1.505897772",0.307,0.403,"1.505897772",-0.038,-0.034999999999999976,-0.043,-0.034,19.1,"54.5",3.9436362749850025,9.731810262513902,30.602397819519222,0.45153374233128835,35.244500489033385,22.537492847464566
1501,680730,"Parker, Mitchell",2707,55.4,0.269,0.178,0.266,0.447,0.347,0.39,0.311,97,360,93.1,16.7,2168,93,93.84,82,767,734,0.7999999999999972,6.88,108,150,120,148,303,324,300,"-6.379","6.379","70.3","6.8",417,330,60,23,1,13,37,8.9,47,11.3,1.14792,1.49843,0.48367,-0.23776,"92.8",187,54.24242424242425,10,7.913669064748201,6.33,1.25,0.04,2.77,0.353,33,"0.424983344",0.391,0.514,"-0.424983344",-0.042,-0.038000000000000034,-0.067,-0.043,10.7,"64.3",4.81726676103949,8.103442728738662,29.957638679945596,0.49064171122994654,36.237811224865176,24.733191889157947
1430,657746,"Ryan, Joe",2798,51.1,0.204,0.18,0.249,0.385,0.277,0.278,0.198,69,338,91.6,25.4,2292,93.6,94.23,214,796,634,0.6000000000000085,6.8,116,148,116,150,299,328,295,"17.999","-17.999","70.9","6.8",361,229,40,13,0,16,109,30.2,20,5.5,1.48038,1.13615,1.05301,-0.10485,"91.5",196,44.10480349344978,12.663755458515283,8.033240997229916,4.77,-2.47,0.13,2.84,0.255,29,"-1.258671329",0.249,0.395,"1.258671329",0.006,0.006000000000000005,-0.01,-0.001,26.9,"25.5",4.839570081044753,8.534890259222273,29.59058470641177,0.455012853470437,36.177252592589554,24.51574049923636
1412,668678,"Gallen, Zac",3137,45,0.244,0.168,0.27,0.413,0.316,0.351,0.265,77,315,93.1,17.2,2320,93.5,93.83,73,562,850,0.29999999999999716,6.57,111,149,117,149,301,324,300,"4.486","-4.486","69.4","6.8",352,256,49,14,3,11,63,17.9,31,8.8,1.18737,1.42924,0.35802,-0.00497,"92.8",194,51.953125,11.71875,8.522727272727272,6.04,-2.71,-0.09,2.66,0.313,30,"-0.317705382",0.332,0.484,"0.317705382",-0.021,-0.019000000000000017,-0.071,-0.035,13,"44.7",5.995705270340256,6.45610580000284,32.18238638887982,0.5036363636363637,36.37303034522817,24.976577004827096
1388,669022,"Gore, MacKenzie",2819,49.2,0.294,0.19,0.318,0.483,0.366,0.376,0.292,79,269,91.5,21.1,2260,95.3,96.1,151,731,657,0.7999999999999972,6.87,109,150,121,149,300,321,297,"0.379","-0.379","69.8","6.7",309,224,52,15,0,12,51,16.5,32,10.4,1.10387,1.4177,0.55146,-0.31701,"91.4",198,47.767857142857146,10.714285714285714,7.766990291262135,5.69,1.98,-0.06,2.91,0.367,24,"-0.027305476",0.37,0.495,"0.027305476",0.002,-0.0030000000000000027,-0.012,-0.01,20.7,"42.7",3.5847528744796895,10.247077231410616,30.14647577408569,0.4160887656033287,35.44368021095154,22.905824904903593
1386,622491,"Castillo, Luis",2988,46.4,0.2,0.206,0.229,0.406,0.289,0.282,0.195,63,315,91.4,26.3,2211,95,93.25,210,792,594,-1.7999999999999972,5.39,115,147,118,147,288,321,296,"12.118","-12.118","69.7","6.7",343,225,31,14,3,15,91,26.5,24,7,1.5082,1.0314,1.0803,-0.11783,"91.5",209,49.333333333333336,14.222222222222221,9.329446064139942,5.16,-2.18,0.04,3.12,0.262,32,"-0.874314574",0.258,0.393,"0.874314574",0.005,0.0040000000000000036,0.013,0.007,26.5,"17.0",5.491640018477837,8.033443813279929,28.92739089154936,0.4839537869062901,36.73437421367549,23.792225463182653
1383,601713,"Pivetta, Nick",2856,48.4,0.183,0.143,0.227,0.326,0.259,0.317,0.216,60,328,93,26.6,2325,93.8,94.41,173,694,689,0.6000000000000085,6.87,120,150,121,151,302,327,301,"20.487","-20.487","69.5","6.7",366,221,39,8,0,13,111,30.3,33,9,0.97295,1.63997,0.22357,-0.02984,"92.4",206,54.54545454545454,13.636363636363635,8.19672131147541,6.8,-1.01,0.08,3.11,0.258,30,"-1.481344902",0.293,0.424,"1.481344902",-0.033,-0.034999999999999976,-0.098,-0.058,24.9,"56.9",6.14791779143853,7.16046121378321,28.998370242305672,0.527736131934033,35.82129169118899,24.577594322867395
1344,607074,"Rodón, Carlos",3213,41.8,0.224,0.205,0.238,0.429,0.336,0.338,0.232,57,254,89.5,22.5,2347,94.1,93.4,124,579,765,-0.6999999999999886,6.11,108,151,123,150,294,321,283,"7.144","-7.144","70.7","7.0",299,200,31,13,0,13,56,18.7,42,14,1.12902,1.46882,0.89737,-0.59713,"91.5",192,42.71356783919598,9.547738693467336,6.354515050167224,6.45,2.16,0.15,2.55,0.337,19,"-0.531547619",0.343,0.425,"0.531547619",-0.008,-0.006000000000000005,0.004,-0.002,21.4,"47.1",6.620230151027229,5.191791204971716,31.615527616238865,0.5380530973451327,37.79924261107344,25.441646023017213
1327,656427,"Flaherty, Jack",2835,46.8,0.264,0.181,0.312,0.444,0.341,0.354,0.269,76,288,91.5,21.8,2263,92.9,93.39,102,600,727,0.5,6.56,114,149,116,150,295,326,296,"2.539","-2.539","70.5","6.8",323,216,50,13,0,13,74,22.9,32,9.9,1.32108,1.31991,0.48612,-0.02343,"91.7",199,47.68518518518518,11.574074074074074,7.739938080495357,5.39,-2.52,-0.05,2.43,0.339,25,"-0.191333836",0.343,0.474,"0.191333836",-0.005,-0.0040000000000000036,-0.03,-0.013,17,"28.3",4.531256877636244,7.7537829561375275,31.876890179196437,0.45017182130584193,37.18821062561892,24.03278355127917
