"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
3030,592332,"Gausman, Kevin",3038,99.7,0.216,0.141,0.263,0.358,0.273,0.299,0.24,155,716,88.7,16.2,2053,89.9,90.2,413,1564,1466,0.29999999999999716,6.68,111,149,116,148,294,324,295,"25.841","-25.841","70.8","7.4",773,531,98,34,2,21,189,24.5,48,6.2,1.96299,0.91038,0.97068,0.00311,"91.8",168,41.431261770244824,8.47457627118644,5.821474773609314,5.74,-2.5,-0.12,1.99,0.268,45,"-0.852838284",0.29,0.397,"0.852838284",-0.024,-0.021999999999999964,-0.039,-0.026,26.4,"36.6",9.507867447878997,-2.9827037425010547,33.41094501523201,0.4373770491803279,36.56281156487575,30.281944440784052
2829,605135,"Bassitt, Chris",2836,99.8,0.261,0.154,0.315,0.415,0.324,0.317,0.255,174,667,87.5,10.4,2138,85.9,85.7,308,1323,1506,-0.20000000000000284,6.34,111,148,115,149,290,320,294,"-2.621","2.621","69.0","7.0",736,505,118,31,3,22,166,22.6,52,7.1,2.9971,0.21421,0.35064,-0.04506,"91.7",150,36.633663366336634,8.514851485148515,5.842391304347826,5.45,-1.97,-0.03,2.51,0.325,43,"0.092647579",0.321,0.399,"-0.092647579",0.006,0.0040000000000000036,0.016,0.007,23.3,"32.0",7.537530360760342,1.6829174782006158,32.01834733680598,0.42109375,36.15624004019947,28.9110601837809
1913,621244,"Berríos, José",2592,73.8,0.26,0.177,0.286,0.437,0.331,0.345,0.264,125,481,90.6,15.7,1967,90.6,90.64,166,902,1011,0,6.44,110,148,116,149,293,324,297,"-0.549","0.549","71.0","7.2",531,391,79,26,1,19,93,17.5,41,7.7,1.93846,0.8618,1.07879,-0.0872,"92.6",160,44.61538461538462,11.282051282051283,8.286252354048965,5.67,-1.94,-0.16,2.35,0.325,44,"0.02869838",0.33,0.462,"-0.02869838",-0.004,-0.0050000000000000044,-0.025,-0.014,18.4,"39.4",10.03658412695332,-0.5466599920300752,32.8656056259311,0.5364464692482915,36.03351258490731,29.517361297279987
1682,641778,"Lauer, Eric",1690,99.5,0.227,0.179,0.268,0.407,0.295,0.303,0.243,90,396,90.1,21,2187,86.8,86.48,194,819,863,-0.29999999999999716,6.06,109,150,117,147,297,323,291,"5.245","-5.245","70.4","7.1",425,296,51,22,2,15,102,24,25,5.9,2.40435,0.66397,0.20024,-0.08479,"91.9",182,42.03389830508474,8.135593220338983,5.647058823529412,6.08,1.82,0.04,2.49,0.276,24,"-0.311831153",0.291,0.406,"0.311831153",-0.016,-0.014999999999999958,0.001,-0.008,23.7,"38.6",7.74419353674725,2.5815338322256642,31.39077005551303,0.5155666251556662,36.45169518815914,28.43202086627337
1390,453286,"Scherzer, Max",1392,99.9,0.263,0.236,0.293,0.498,0.346,0.332,0.25,87,331,88.3,21.5,2286,88.5,88.37,164,696,694,-0.09999999999999432,6.28,113,148,117,149,293,324,292,"-10.197","10.197","71.3","7.3",356,251,47,21,0,19,81,22.8,22,6.2,2.22349,0.73463,0.33084,-0.10094,"92.0",184,38.24701195219124,12.350597609561753,8.707865168539326,5.63,-2.99,0.05,2.37,0.312,31,"0.733597122",0.3,0.476,"-0.733597122",0.013,0.01200000000000001,0.022,0.014,23.6,"33.1",10.80155406733813,-3.0770031142440812,32.81720512044713,0.5441176470588235,36.44555642524432,30.676559661683292
1158,684320,"Rodríguez, Yariel",1172,98.8,0.196,0.129,0.231,0.325,0.281,0.317,0.23,50,255,85.5,15.2,2473,90.8,90.7,145,528,630,-0.09999999999999432,6.38,110,150,117,149,295,322,294,"8.107","-8.107","68.3","7.2",295,192,34,7,1,8,66,22.4,31,10.5,2.2311,0.58098,0.13231,-0.16401,"91.4",162,35.9375,9.375,6.101694915254238,5.72,-1.73,0.07,2.4,0.297,18,"-0.700086356",0.328,0.38,"0.700086356",-0.034,-0.031000000000000028,-0.055,-0.036,27.5,"36.4",8.341449306692068,0.074929495977511,31.67841269977823,0.501937984496124,38.491775713682905,29.420470136206905
1141,670102,"Francis, Bowden",1143,99.8,0.283,0.255,0.286,0.538,0.382,0.372,0.284,71,251,91.3,20.4,1976,87,87.52,124,533,608,0.5,6.84,110,148,118,149,291,326,299,"-16.444","16.444","70.6","7.3",288,201,46,5,1,19,54,18.8,27,9.4,2.21201,0.89263,0.30858,-0.08928,"92.9",175,52.23880597014925,12.437810945273633,8.680555555555555,5.96,-2.13,-0.14,2.41,0.361,25,"1.441191937",0.365,0.488,"-1.441191937",-0.001,-0.0040000000000000036,0.05,0.01,23.3,"39.2",11.396119941625557,-4.103302765939127,31.340441251322158,0.5136186770428015,36.49157494120664,32.30499066345166
1127,656546,"Hoffman, Jeff",1132,99.6,0.213,0.233,0.252,0.447,0.32,0.304,0.203,54,253,88.5,15.4,2388,92,92.26,181,572,555,0.29999999999999716,6.59,113,149,117,149,293,323,296,"-1.841","1.841","68.5","7.3",286,172,25,14,0,15,84,29.4,26,9.1,1.98971,0.73993,0.69068,-0.21847,"91.7",161,39.53488372093023,12.790697674418606,7.6923076923076925,5.77,-2.56,0.01,2.39,0.296,22,"0.163354037",0.288,0.408,"-0.163354037",0.01,0.008000000000000007,0.039,0.016,31.6,"37.2",10.84803160808658,-3.9649711417124696,30.99003260483739,0.5144927536231884,37.55486734701308,31.238352728239366
859,689254,"Fluharty, Mason",875,98.2,0.193,0.139,0.238,0.332,0.271,0.281,0.207,36,187,85.8,15.1,2754,86.6,87.23,127,398,461,0.6000000000000085,6.73,109,147,116,147,288,319,291,"7.783","-7.783","68.8","7.2",211,133,22,8,0,6,56,26.5,20,9.5,2.50221,0.5722,-0.74214,-0.06494,"91.4",162,33.08270676691729,7.518796992481203,4.739336492890995,5.67,3.33,-0.14,2.51,0.276,10,"-0.906053551",0.29,0.341,"0.906053551",-0.014,-0.013999999999999957,-0.009,-0.01,31.9,"32.6",9.9246150604273,-0.7981528275573603,30.45083771150873,0.49743589743589745,39.061637867369534,30.224707700102005
833,680755,"Fisher, Braydon",839,99.3,0.181,0.102,0.248,0.282,0.248,0.284,0.208,32,177,87.6,16.4,2369,87.9,86.83,109,364,469,-1.1000000000000085,5.66,109,147,117,147,293,322,291,"8.466","-8.466","67.9","7.3",201,118,22,6,0,4,62,30.8,18,9,3.00334,-0.01954,-0.13996,-0.01409,"91.6",160,36.440677966101696,7.627118644067797,4.477611940298507,6.47,0.27,0.25,2.61,0.265,9,"-1.016326531",0.29,0.345,"1.016326531",-0.027,-0.024999999999999967,-0.063,-0.036,29.9,"49.1",11.813192069082662,-3.9803061947406606,30.498116510837125,0.5484764542936288,37.259582399644216,32.108709205383136
