"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
434,621244,"Berríos, José",2592,16.7,0.22,0.189,0.262,0.409,0.296,0.285,0.211,29,132,87.5,11.8,1555,85.2,85.29,86,247,187,0.09999999999999432,6.47,112,148,117,149,292,324,298,"0.193","-0.193","71.7","7.9",142,91,18,4,0,7,41,28.9,10,7,2.79396,0.36283,1.20228,-0.48689,"92.0",136,31.868131868131865,9.89010989010989,6.338028169014084,5.55,-2.01,-0.52,1.78,0.275,9,"-0.044470046",0.267,0.39,"0.044470046",0.009,0.008000000000000007,0.019,0.011,34.8,"37.3",17.40867828436655,-11.904783943185972,33.67287763169079,0.5020746887966805,39.100566087040235,37.91908736564914
195,453286,"Scherzer, Max",1392,14,0.279,0.116,0.355,0.395,0.332,0.312,0.249,12,43,89.2,7.9,1353,84.9,85.13,16,77,118,0.19999999999998863,6.51,116,148,120,150,291,325,293,"-4.172","4.172","70.5","7.7",48,32,9,2,0,1,11,22.9,5,10.4,2.78123,0.39268,1.1939,-0.49359,"93.6",140,43.75,6.25,4.166666666666666,5.45,-3.08,-0.43,1.85,0.354,2,"2.139487179",0.327,0.375,"-2.139487179",0.03,0.02699999999999997,0.02,0.02,20.8,"29.2",13.548926688337653,-10.276266265097638,33.79207576961226,0.5394736842105263,38.497184568584515,35.03964508702542
134,641778,"Lauer, Eric",1690,7.9,0.3,0.25,0.278,0.55,0.391,0.502,0.448,6,20,92.2,2.2,936,85,84.59,8,42,92,-0.4000000000000057,6.06,108,152,118,146,300,323,289,"-4.504","4.504","71.5","7.6",22,19,3,2,0,1,1,4.5,1,4.5,2.7159,0.44744,0.71313,-0.62358,"94.4",128,52.63157894736842,10.526315789473683,9.090909090909092,5.99,1.88,0.39,1.48,0.364,2,"3.36119403",0.498,0.67,"-3.36119403",-0.148,-0.134,-0.12,-0.111,19,"34.6",9.360398832826066,3.1499620502915553,33.41659407987994,0.5897435897435898,40.688424121019054,28.30660168813255
92,687922,"Lucas, Easton",438,21,0.267,0.2,0.231,0.467,0.312,0.374,0.333,4,15,87.1,3.1,1369,87.4,87.37,10,40,52,0,6.41,105,151,113,145,295,322,292,"-1.695","1.695","68.7","7.5",15,14,3,0,0,1,1,6.7,0,0,2.38598,0.62297,1.13152,-1.01478,"90.5",90,28.57142857142857,7.142857142857142,6.666666666666667,6.04,2.43,0.41,1.75,0.267,1,"1.842391304",0.333,0.541,"-1.842391304",-0.066,-0.066,-0.074,-0.062,25,"45.5",13.067602632144062,-6.044193006409651,32.993830405479244,0.6,39.724442047989406,34.909270237802325
87,687606,"Schultz, Paxton",448,19.4,0.19,0.143,0.2,0.333,0.213,0.278,0.228,4,21,90.1,7.8,1808,86.3,85.88,11,38,49,-0.3999999999999915,6.1,109,146,120,147,292,323,297,"-0.602","0.602","69.2","7.6",22,16,3,0,0,1,6,27.3,0,0,2.76046,0.31092,0.39621,-0.21138,"91.6",123,31.25,6.25,4.545454545454546,5.86,-2.36,-0.34,1.42,0.182,1,"0.691954023",0.252,0.368,"-0.691954023",-0.038,-0.07,-0.035,-0.065,28.9,"38.1",9.203374140201454,-4.038727832652352,34.403834666954005,0.6111111111111112,38.6889969216741,32.48758512427817
83,669456,"Bieber, Shane",645,12.9,0.467,0.2,0.6,0.667,0.501,0.256,0.227,7,15,95.3,-4.2,1396,89.1,89.65,13,34,49,0.5,6.64,117,149,118,151,292,323,294,"-3.384","3.384","69.1","7.1",16,11,6,0,0,1,4,25,1,6.3,2.92181,-0.04889,1.10096,-0.4188,"93.6",107,54.54545454545454,0,0,5.55,-1.8,-0.78,1.82,0.5,0,"4.077108434",0.275,0.296,"-4.077108434",0.24,0.22499999999999998,0.371,0.245,38.2,"35.8",6.054644597568704,4.95069860829402,34.32963540052343,0.5454545454545454,39.861888013491956,27.723533603405524
77,605135,"Bassitt, Chris",2836,2.7,0.353,0.412,0.308,0.765,0.483,0.457,0.326,6,17,89.6,20.9,1909,84.5,84.48,6,30,47,0,6.37,113,147,117,151,288,321,295,"-2.459","2.459","70.6","7.6",19,16,3,1,0,2,2,10.5,0,0,2.89779,0.30753,1.36377,-0.81286,"92.6",170,37.5,18.75,15.789473684210526,5.38,-1.61,-0.28,1.92,0.389,3,"3.193506494",0.363,0.729,"-3.193506494",0.027,0.026000000000000023,0.036,0.026,20,"29.7",12.759049363641706,-10.443369715523906,33.726778178695504,0.6551724137931034,38.97489674736385,35.343134950688025
70,570632,"Ureña, José",938,7.5,0.176,0,0.188,0.176,0.185,0.272,0.26,3,17,84.8,33.4,1854,88.7,88.35,13,40,30,-0.29999999999999716,6.32,115,150,119,149,294,323,304,"1.404","-1.404","69.5","7.7",18,16,3,0,0,0,1,5.6,1,5.6,2.20571,0.71757,1.39114,-0.50343,"90.8",140,18.75,0,0,5.68,-3.06,-0.16,1.56,0.222,0,"-2.005714286",0.301,0.312,"2.005714286",-0.084,-0.07899999999999999,-0.136,-0.087,32.5,"31.1",16.11700189372763,-16.294389377516218,36.7426659393785,0.55,37.84762878937049,37.94434561546878
29,622253,"Tate, Dillon",139,20.9,0,0,0,0,0.35,0.63,0.361,0,4,92.1,17.5,1358,82.7,81.94,2,11,18,-0.7999999999999972,6.24,106,148,119,150,288,324,303,"-1.111","1.111","76.4","7.8",8,4,0,0,0,0,0,0,3,37.5,3.70034,-0.30966,0.94448,-0.67759,"94.0",168,25,25,12.5,5.14,-1.84,-0.07,1.78,0.5,1,"3.831034483",0.681,0.991,"-3.831034483",-0.361,-0.18100000000000005,-0.991,-0.28,18.2,"19.7",17.838824958755705,-12.429736084349035,34.74994388270296,0.7272727272727273,32.1840130414848,38.04068671480828
20,554340,"García, Yimi",364,5.5,0.25,0.25,0.333,0.5,0.389,0.409,0.354,1,4,87.8,15.3,1872,89.5,88.56,3,11,9,-0.9000000000000057,5.94,114,147,119,150,288,324,307,"-0.342","0.342","71.9","7.6",5,3,0,1,0,0,1,20,1,20,2.6065,0.264,1.3035,-1.3035,"88.9",151,0,0,0,5.32,-2.57,0.07,1.35,0.4,0,"1.71",0.484,0.42,"-1.71",-0.104,-0.08399999999999996,0.08,-0.02,27.3,"29.0",12.809771098042486,0.34974374690209054,33.985202189693446,0.45454545454545453,42.681228389925266,31.54597458341798
