"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
460,605135,"Bassitt, Chris",2836,16.2,0.17,0.12,0.211,0.29,0.243,0.24,0.18,17,100,80.5,19.6,2277,71.3,70.66,66,210,250,-0.5999999999999943,6.3,113,148,115,149,289,320,295,"5.378","-5.378","67.4","7.7",112,73,11,2,2,2,28,25,7,6.3,5.52652,-0.95596,-1.3993,0.41213,"90.4",147,17.80821917808219,4.10958904109589,2.6785714285714284,5.67,-1.83,-0.01,1.87,0.25,3,"-1.169130435",0.263,0.256,"1.169130435",-0.01,-0.013000000000000012,0.034,0.003,31.4,"38.5",18.90426748961415,-21.087245402011252,32.820198780491886,0.4174757281553398,36.87842480140363,44.47357381424988
305,680755,"Fisher, Braydon",839,36.4,0.172,0.109,0.278,0.281,0.236,0.278,0.207,11,64,89.4,0.3,2491,82.9,81.73,29,107,198,-1.2000000000000028,5.68,111,146,118,148,291,322,293,"0.579","-0.579","66.7","7.3",70,37,6,4,0,1,27,38.6,4,5.7,4.57325,-1.2323,-0.42043,0.11556,"91.7",133,32.432432432432435,10.81081081081081,5.714285714285714,6.46,0.24,0.16,2.31,0.243,4,"-0.189836066",0.275,0.354,"0.189836066",-0.035,-0.03200000000000003,-0.073,-0.042,27.1,"49.3",11.073049007053072,-6.2289050698455615,31.580573529212028,0.46226415094339623,35.511478708594126,33.399233304699116
242,641778,"Lauer, Eric",1690,14.3,0.302,0.094,0.385,0.396,0.336,0.274,0.231,16,53,87.6,8,2397,75,74.53,29,98,144,-0.5,5.86,107,151,116,146,298,323,290,"-0.396","0.396","69.5","7.8",59,41,13,2,0,1,13,22,5,8.5,4.84107,-0.79905,-0.74202,0.44905,"91.8",124,30,0,0,6.2,1.86,0.2,2,0.362,0,"0.163636364",0.299,0.314,"-0.163636364",0.071,0.063,0.082,0.062,29.6,"39.0",15.529604987726588,-14.396949808177279,32.73627844705165,0.47368421052631576,36.613626208807716,41.27921221830067
165,453286,"Scherzer, Max",1392,11.9,0.349,0.326,0.375,0.674,0.448,0.384,0.317,15,43,87.6,18,2689,76.7,76.73,17,72,93,0,6.36,112,148,116,150,291,324,293,"-6.141","6.141","71.9","7.8",46,35,7,5,0,3,8,17.4,3,6.5,4.41927,-0.53436,-0.96788,0.32497,"92.1",192,37.142857142857146,8.571428571428571,6.521739130434782,5.72,-2.89,-0.04,2.02,0.391,3,"3.721818182",0.361,0.535,"-3.721818182",0.032,0.030000000000000027,0.139,0.064,23.6,"37.1",16.488432523151406,-13.158124354580014,32.40406265079879,0.5555555555555556,38.092018087298264,38.905348243942946
160,670102,"Francis, Bowden",1143,14,0.444,0.556,0.385,1,0.619,0.502,0.399,8,18,86.2,11.3,2195,73.7,73.85,16,40,120,0.09999999999999432,6.66,112,147,116,149,290,326,300,"-5.202","5.202","70.4","8.0",21,16,4,1,0,3,2,9.5,2,9.5,4.85244,-0.60938,-1.29394,0.38056,"92.8",156,37.5,18.75,14.285714285714285,6.01,-2.16,-0.1,1.92,0.524,3,"3.25125",0.485,0.698,"-3.25125",0.045,0.039000000000000035,0.302,0.117,40,"41.1",18.97600195611755,-23.381889618619983,31.92790776803872,0.4358974358974359,38.128764698728965,45.802456814240074
135,667297,"Nance, Tommy",461,29.3,0.159,0.045,0.333,0.205,0.181,0.176,0.162,7,44,84.1,-11.1,2972,85,83.99,27,66,69,-1,6.01,113,146,120,148,292,321,294,"1.132","-1.132","64.3","7.3",46,21,5,2,0,0,23,50,1,2.2,4.43526,-1.23607,-0.99111,0.27007,"91.6",71,28.57142857142857,0,0,6.33,-0.96,0.22,1.82,0.196,0,"-0.838518519",0.198,0.186,"0.838518519",-0.003,-0.0020000000000000018,0.019,0.005,40.9,"48.0",9.251326685239498,-2.320159097410024,33.56538893511591,0.5692307692307692,36.21192421711517,31.138430574936894
62,554340,"García, Yimi",364,17,0.182,0,0.25,0.182,0.205,0.191,0.151,2,11,94.2,24.9,2857,84.5,83.66,7,25,37,-0.7999999999999972,5.8,111,148,113,150,288,324,303,"0.571","-0.571","70.9","7.5",12,8,2,0,0,0,3,25,1,8.3,3.31113,-0.10774,-0.94194,0.51452,"91.8",151,50,0,0,5.23,-2.76,-0.08,1.92,0.25,0,"-0.920967742",0.222,0.184,"0.920967742",0.031,0.027999999999999997,-0.002,0.014,28,"27.1",11.572332903006169,-3.942773107448265,33.040684057645294,0.4583333333333333,37.08116629968048,31.52066361253262
49,677020,"Walker, Josh",92,53.3,0.25,0.083,0.429,0.333,0.288,0.22,0.172,3,12,85.1,19.3,2164,83.9,85.28,10,23,26,1.3999999999999915,7.21,103,147,115,143,293,323,290,"0.089","-0.089","69.2","8.0",13,7,2,1,0,0,5,38.5,0,0,2.95367,0.29061,-0.48041,0.22286,"93.0",105,42.857142857142854,14.285714285714285,7.6923076923076925,6.04,2.82,0.07,2.4,0.308,1,"-0.181632653",0.236,0.238,"0.181632653",0.078,0.07200000000000001,0.095,0.068,43.5,"38.2",18.861892832843413,-15.288977673151635,32.5555397488887,0.6666666666666666,34.90634368901063,39.949637397010484
19,605513,"Turnbull, Spencer",125,15.2,0.167,0,0.25,0.167,0.147,0.064,0.069,1,6,81.7,3,2786,78.1,77.17,3,10,9,-0.8999999999999915,6.11,113,142,116,141,288,323,289,"1.006","-1.006","71.9","8.1",6,4,1,0,0,0,2,33.3,0,0,4.97737,-1.17211,-1.06789,0.12263,"92.4",90,0,0,0,5.86,-1.65,0.24,1.47,0.167,0,"-5.294736842",0.069,0.079,"5.294736842",0.098,0.098,0.088,0.083,30,"30.4",16.747015545686573,-15.872251688225125,37.324752652228156,0.5,35.989228063203484,41.2387775877385
13,681751,"Estrada, Lazaro",119,10.9,0,0,0,0,0,0.003,0.003,0,2,86.4,45,2580,75.2,75.02,4,6,7,-0.20000000000000284,6.19,109,149,110,145,294,329,298,"0.481","-0.481","70.3","7.8",2,1,0,0,0,0,1,50,0,0,5.05846,-1.02154,-0.74231,-0.32538,"88.2",181,0,0,0,5.66,-0.92,0.03,2.23,0,0,"-3.7",0.003,0.003,"3.7",-0.003,-0.003,-0.003,-0.003,66.7,"51.7",18.023771490189645,-30.29609952893745,31.885399956793403,0.6666666666666666,36.504171305385576,46.007063625523394
