"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
500,689254,"Fluharty, Mason",875,57.1,0.182,0.1,0.24,0.282,0.269,0.302,0.216,20,110,86.9,12.5,2760,90.2,90.97,64,229,271,0.7999999999999972,6.66,108,148,117,146,289,319,291,"4.774","-4.774","69.2","6.8",131,78,13,5,0,2,34,26,18,13.7,1.93932,0.853,-0.29301,0.07513,"91.3",165,37.17948717948718,7.6923076923076925,4.580152671755725,5.65,3.41,0,2.9,0.3,6,"-0.9548",0.332,0.333,"0.9548",-0.034,-0.03200000000000003,-0.051,-0.033,27.9,"29.9",5.213639141454711,8.531997748305308,29.818868301297623,0.5,37.883257680993204,23.094140105717177
478,605135,"Bassitt, Chris",2836,16.9,0.205,0.213,0.254,0.417,0.292,0.289,0.207,26,127,87,14.1,2223,88.5,88.79,69,237,241,0.29999999999999716,6.35,113,147,116,149,288,320,296,"-1.338","1.338","68.2","6.5",138,79,15,3,0,8,49,35.5,9,6.5,2.19456,0.70661,-0.06857,0.00582,"91.2",169,31.645569620253166,12.658227848101266,7.246376811594203,5.41,-2.03,0.22,3.33,0.261,10,"0.279916318",0.268,0.395,"-0.279916318",-0.002,-0.007000000000000006,0.022,0.003,29.1,"31.4",5.0785607066921425,11.59113617547347,28.956796547412853,0.4366812227074236,35.551994752731694,22.71742082246069
344,641778,"Lauer, Eric",1690,20.4,0.234,0.26,0.255,0.494,0.342,0.366,0.274,18,77,89.5,24.5,2372,86.5,86.39,42,161,183,-0.09999999999999432,6.06,108,150,116,147,297,323,291,"2.192","-2.192","71.0","7.2",85,56,8,5,0,5,21,24.7,7,8.2,2.48009,0.55009,-0.29009,0.16512,"92.4",172,41.07142857142857,14.285714285714285,9.411764705882353,6.04,1.88,-0.19,2.54,0.306,8,"-0.637209302",0.342,0.506,"0.637209302",-0.04,-0.03600000000000003,-0.012,-0.024,26.1,"37.5",8.403514828520196,0.7572797690281018,31.896694481748973,0.559748427672956,34.70971166945077,29.12482325795438
152,621244,"Berríos, José",2592,5.9,0.333,0.139,0.324,0.472,0.356,0.305,0.287,12,36,84.6,19.2,2308,89.6,89.73,15,93,59,0.10000000000000853,6.34,114,146,112,150,289,325,299,"-0.334","0.334","70.0","6.9",37,35,9,2,0,1,1,2.7,1,2.7,1.99967,0.83743,0.00311,-0.02297,"91.8",145,31.428571428571427,2.857142857142857,2.7027027027027026,5.67,-2,0.66,2.65,0.351,1,"0.219736842",0.307,0.391,"-0.219736842",0.046,0.043999999999999984,0.081,0.051,16.1,"38.7",9.717013017869947,-2.6167555292337097,32.058069617421275,0.5604395604395604,30.386997144268662,28.93608240914544
129,687606,"Schultz, Paxton",448,28.8,0.28,0.12,0.389,0.4,0.31,0.27,0.201,7,25,93.4,21.9,2213,88.9,88.65,17,52,77,-0.30000000000001137,6.06,111,147,119,147,294,323,296,"0.833","-0.833","68.5","6.8",28,18,4,3,0,0,8,28.6,2,7.1,1.95845,0.91899,-0.18362,0.01701,"92.8",173,38.88888888888889,5.555555555555555,3.571428571428571,5.76,-2.49,-0.15,3,0.321,1,"-0.645736434",0.265,0.331,"0.645736434",0.079,0.055999999999999994,0.069,0.04,32.7,"33.8",6.106643018516728,8.9407366671368,31.255376996948563,0.46153846153846156,37.17749768913544,23.75252672098728
97,663893,"Little, Brendon",1252,7.7,0.25,0.1,0.313,0.35,0.313,0.313,0.251,5,20,82.3,5.6,2201,93.3,92.34,13,44,53,-1,5.65,108,147,115,146,293,324,292,"1.071","-1.071","70.4","7.0",23,16,4,0,1,0,4,17.4,3,13,2.09907,0.51464,0.09957,-0.05277,"90.5",142,31.25,0,0,6.13,2.01,-0.58,2.61,0.348,0,"-1.104123711",0.349,0.347,"1.104123711",-0.001,-0.0010000000000000009,0.003,0,29.5,"33.1",9.691464730526762,2.416584385648157,33.39417785948779,0.5813953488372093,32.51024224642928,27.748880409231436
81,669456,"Bieber, Shane",645,12.6,0.333,0.333,0.273,0.667,0.421,0.473,0.429,4,12,87.8,4.3,2551,87.4,88.19,6,29,52,0.7999999999999972,6.59,114,149,108,150,293,323,294,"-0.007","0.007","71.9","7.3",12,12,2,1,0,1,0,0,0,0,2.38136,0.58062,-0.18975,0.00975,"90.4",134,25,8.333333333333332,8.333333333333332,5.64,-1.75,-0.17,2.7,0.333,1,"0.008641975",0.429,0.67,"-0.008641975",-0.096,-0.09599999999999997,-0.003,-0.052,20.7,"38.1",14.558235895242596,-4.974766433179406,28.88016137557014,0.4642857142857143,38.37075544753398,33.44055298081099
74,606930,"Barnes, Jacob",146,50.7,0.294,0,0.313,0.294,0.295,0.333,0.265,5,17,83.7,12.7,2330,87.8,88.16,12,37,37,0.4000000000000057,6.61,107,142,112,139,295,326,297,"1.174","-1.174","71.2","7.7",22,16,5,0,0,0,3,13.6,3,13.6,2.5523,0.41743,-0.40568,-0.1527,"92.5",99,25,6.25,4.545454545454546,5.6,-1.45,0.46,1.61,0.364,1,"-1.586486486",0.373,0.332,"1.586486486",0.029,-0.009000000000000008,-0.038,-0.038,32.4,"42.3",11.368862759734462,-4.556763263882469,33.818240931155096,0.6470588235294118,39.32586510675071,32.077369268573925
32,687922,"Lucas, Easton",438,7.3,0.167,0,0.167,0.167,0.197,0.254,0.229,1,6,83.8,8.3,2237,91.5,91.68,2,15,17,0.20000000000000284,6.37,103,149,113,144,295,323,289,"0.63","-0.63","71.9","7.0",8,6,1,0,0,0,1,12.5,1,12.5,1.93906,0.78281,-0.12188,0.11063,"91.0",113,16.666666666666664,0,0,6.17,2.34,-0.66,2.24,0.25,0,"-1.96875",0.303,0.26,"1.96875",-0.062,-0.05299999999999999,-0.093,-0.057,13.3,"47.6",8.074752614077628,-2.5015183474808214,31.600462484764464,0.4,29.20759962176478,28.407013803990512
27,453286,"Scherzer, Max",1392,1.9,0.25,0.25,0.25,0.5,0.313,0.193,0.199,1,4,78.7,30.5,2486,88.1,87.9,1,12,15,-0.19999999999998863,6.16,120,146,120,152,289,324,294,"-0.204","0.204","75.6","7.1",4,4,0,1,0,0,0,0,0,0,2.28741,0.65222,-0.0184,0.0184,"89.2",155,0,0,0,5.55,-3.12,0.7,2.27,0.25,0,"0.755555556",0.199,0.249,"-0.755555556",0.051,0.05099999999999999,0.251,0.12,8.3,"30.7",9.2407823823671,-0.5506925464978489,35.35639898034469,0.6363636363636364,32.40518807777783,29.134126607073778
