"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1179,605135,"Bassitt, Chris",2836,41.6,0.297,0.134,0.335,0.431,0.351,0.356,0.294,86,290,89.9,3.2,2102,91.6,91.35,80,556,623,-0.19999999999998863,6.36,109,148,115,148,292,320,293,"2.07","-2.07","70.3","6.8",322,243,61,18,0,7,47,14.6,26,8.1,2.35559,0.38556,1.3499,0.11656,"92.5",135,44.44444444444444,7.818930041152264,5.900621118012422,5.44,-1.96,-0.24,2.46,0.366,19,"-0.175572519",0.365,0.446,"0.175572519",0.003,0.0010000000000000009,-0.015,-0.005,14.4,"31.3",2.832827522970057,9.262428336985252,33.43307140887148,0.4067796610169492,35.19313729130556,23.679853714074287
849,621244,"Berríos, José",2592,32.8,0.252,0.179,0.264,0.431,0.325,0.377,0.292,55,218,92.6,12.1,2027,92.2,92.26,34,354,495,0.09999999999999432,6.45,108,149,116,148,295,324,295,"2.917","-2.917","71.4","7.0",240,183,34,12,0,9,36,15,16,6.7,1.79928,0.89494,1.3443,0.27186,"93.4",158,52.74725274725275,13.186813186813188,10,5.7,-1.91,-0.12,2.3,0.317,24,"-0.343580683",0.356,0.517,"0.343580683",-0.04,-0.03899999999999998,-0.086,-0.052,9.6,"40.0",6.722733322269183,3.6311131269867025,33.85488998798751,0.527536231884058,34.845442295549454,26.48989563464363
565,663893,"Little, Brendon",1252,45.1,0.248,0.119,0.273,0.366,0.348,0.365,0.271,25,101,91.3,-2.4,2028,93.4,91.77,65,206,359,-1.6000000000000085,5.56,107,147,111,147,290,322,295,"-1.07","1.07","71.7","7.3",126,89,15,9,0,1,12,9.5,24,19,2.80175,-0.16707,1.22478,0.09795,"94.2",106,49.43820224719101,5.617977528089887,3.968253968253968,5.86,2.03,0.09,1.87,0.397,5,"0.189380531",0.417,0.388,"-0.189380531",-0.023,-0.019999999999999962,-0.022,-0.017,31.6,"26.4",8.36889416273921,1.610845242665106,34.574569026565975,0.5482233502538071,36.445240961711306,28.983208691521764
128,667297,"Nance, Tommy",461,27.8,0.269,0,0.292,0.269,0.298,0.35,0.32,7,26,88.6,1.4,2362,94.5,94.18,11,53,75,-0.29999999999999716,6.21,111,147,117,147,293,321,292,"0.53","-0.53","69.5","7.0",30,24,7,0,0,0,2,6.7,4,13.3,1.85859,0.70359,1.32305,0.2343,"92.4",124,45.83333333333333,0,0,6.18,-0.99,-0.24,2.74,0.367,0,"-0.4140625",0.411,0.36,"0.4140625",-0.051,-0.043999999999999984,-0.091,-0.052,20.8,"43.7",4.565105432772457,6.278684624261198,30.201048778267833,0.45098039215686275,36.831955283372686,24.42701436821917
112,677865,"Bruihl, Justin",229,48.9,0.344,0.094,0.5,0.438,0.361,0.283,0.241,11,32,89,-4.4,2172,90.2,90.38,9,44,68,0.20000000000000284,6.8,109,147,115,149,288,322,294,"-0.851","0.851","71.1","7.3",34,21,10,0,0,1,11,32.4,1,2.9,2.6033,0.24464,1.48277,0.44973,"92.1",100,38.095238095238095,4.761904761904762,2.941176470588235,5.11,3.24,0.32,2.58,0.382,1,"0.759821429",0.285,0.353,"-0.759821429",0.103,0.09700000000000003,0.085,0.078,20.5,"28.3",9.353305271674472,3.4026405864978084,31.92678853506166,0.7804878048780488,37.586877877670105,26.665771465077704
82,656546,"Hoffman, Jeff",1132,7.2,0.389,0.278,0.429,0.667,0.493,0.413,0.277,7,18,86,18.5,2494,96.3,96.39,6,38,44,0.10000000000000853,6.61,112,149,115,145,296,323,291,"-0.794","0.794","68.1","6.6",22,15,4,2,0,1,3,13.6,4,18.2,1.28939,1.19402,1.33988,0.82061,"90.8",164,26.666666666666668,13.333333333333334,9.090909090909092,5.76,-2.56,-0.31,2.78,0.5,2,"0.968292683",0.408,0.55,"-0.968292683",0.112,0.09200000000000003,0.117,0.08,15.8,"36.3",5.690620188773793,6.926889678754456,29.785742795499505,0.42105263157894735,33.50064346126591,24.692208267724602
70,684320,"Rodríguez, Yariel",1172,6,0.32,0.28,0.316,0.6,0.466,0.513,0.352,8,25,86.1,16.5,2393,95.5,95.45,6,36,34,0,6.47,108,150,115,147,297,324,292,"-3.531","3.531","67.5","6.6",33,21,5,1,0,2,4,12.1,5,15.2,1.63329,0.88714,1.35186,0.861,"93.7",189,52.38095238095239,28.57142857142857,18.181818181818183,5.63,-1.84,-0.81,2.56,0.485,6,"5.044285714",0.509,0.714,"-5.044285714",-0.032,-0.02400000000000002,-0.114,-0.047,16.7,"33.7",1.9104360164509304,6.4676030551523525,32.10926855459211,0.4411764705882353,33.561323527540075,25.057718168483728
54,554340,"García, Yimi",364,14.8,0.2,0,0.2,0.2,0.223,0.348,0.321,2,10,89.9,6.2,2414,95.2,94.05,2,19,35,-1.1000000000000085,5.93,106,150,112,149,294,324,300,"0.516","-0.516","71.5","7.1",11,10,2,0,0,0,0,0,1,9.1,1.97926,0.56593,1.50481,0.34741,"91.3",121,30,0,0,5.22,-2.54,-0.73,2.24,0.273,0,"-0.955555556",0.383,0.398,"0.955555556",-0.121,-0.10999999999999999,-0.198,-0.125,10.5,"27.9",5.819723405741148,6.850458114697075,32.35908942326696,0.5,35.46828367028809,25.219926369463963
52,622554,"Domínguez, Seranthony",1109,4.7,0.4,0.3,0.333,0.7,0.467,0.437,0.351,4,10,96.8,2.3,2294,97.7,97.67,1,26,26,0,6.32,106,141,110,138,292,318,286,"-0.897","0.897","70.1","7.0",13,10,3,0,0,1,1,7.7,2,15.4,1.57192,0.82173,1.20962,0.72423,"94.1",116,80,10,7.6923076923076925,5.49,-2,-0.09,2.21,0.462,1,"1.725",0.458,0.44,"-1.725",0.049,0.0040000000000000036,0.26,0.03,3.8,"28.9",2.2170500984686647,7.308169836989554,32.213708846641204,0.34615384615384615,35.87123645964312,23.245229977190682
47,622253,"Tate, Dillon",139,33.8,0.556,0.444,0.667,1,0.665,0.394,0.269,5,9,81.7,4.3,1927,92.1,91.84,1,16,31,-0.29999999999999716,6.33,107,151,120,148,295,322,295,"-2.661","2.661","70.8","7.1",11,7,3,1,0,1,2,18.2,2,18.2,2.54766,0.15957,1.39404,0.48213,"91.3",174,42.857142857142854,14.285714285714285,9.090909090909092,5.27,-1.93,-0.35,2.52,0.636,1,"5.661702128",0.402,0.499,"-5.661702128",0.287,0.23399999999999999,0.501,0.271,6.3,"22.8",7.773429736817527,6.099597350706002,30.620833350919586,0.625,35.58797738567226,24.741275697292565
