"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
478,684320,"Rodríguez, Yariel",1172,40.8,0.134,0.118,0.169,0.252,0.203,0.244,0.175,16,119,83.5,20.6,2765,85.6,85.19,90,242,236,-0.3999999999999915,6.23,109,150,117,148,297,322,293,"10.976","-10.976","67.7","7.7",131,76,10,2,0,4,45,34.4,10,7.6,3.09981,0.03769,-0.58395,-0.28517,"90.9",162,27.631578947368425,10.526315789473683,6.106870229007633,5.69,-1.76,0.36,2.06,0.2,8,"-2.29623431",0.24,0.299,"2.29623431",-0.041,-0.03999999999999998,-0.047,-0.041,37.2,"35.5",13.449697793869243,-8.70337470021132,31.519044526423023,0.5189873417721519,40.4691538999668,35.189283264955456
337,656546,"Hoffman, Jeff",1132,29.8,0.125,0.188,0.156,0.313,0.216,0.234,0.157,8,64,84.4,14,2738,87,87.19,72,152,185,0.20000000000000284,6.47,110,149,117,147,294,323,293,"4.149","-4.149","64.1","7.7",71,36,2,3,0,3,30,42.3,3,4.2,3.01783,0.0024,-0.35743,-0.14973,"91.1",125,38.88888888888889,8.333333333333332,4.225352112676056,5.83,-2.55,0.57,1.86,0.186,3,"-1.23115727",0.219,0.307,"1.23115727",-0.032,-0.033,0.006,-0.018,47.4,"38.5",14.626054915117233,-12.919532914052313,31.63801841213935,0.5099337748344371,38.318079619714744,37.964393076690676
337,643338,"Green, Chad",718,46.9,0.229,0.229,0.212,0.457,0.322,0.34,0.254,16,70,88.4,10.2,2241,88.1,88.12,38,155,182,0,6.36,111,150,119,148,298,325,295,"-2.604","2.604","70.7","7.7",76,57,10,1,0,5,13,17.1,5,6.6,2.65614,0.28928,-0.27593,-0.12015,"92.1",150,42.10526315789473,12.280701754385964,9.210526315789473,6.11,-1.91,0.6,1.87,0.289,7,"0.772700297",0.313,0.479,"-0.772700297",-0.025,-0.02400000000000002,-0.022,-0.018,24.5,"46.3",11.935312819420826,-6.175001096396803,32.103706940981155,0.47058823529411764,39.28028525201727,34.34592605300515
329,453286,"Scherzer, Max",1392,23.6,0.24,0.24,0.288,0.479,0.311,0.276,0.222,23,96,87.2,17.1,2404,86.3,86.34,67,202,127,0,6.22,111,150,118,148,295,324,291,"-3.181","3.181","71.1","7.8",98,65,12,5,0,6,31,31.6,2,2,2.72967,0.32375,-0.31155,-0.13787,"92.3",153,30.76923076923077,12.307692307692308,8.16326530612245,5.55,-3.05,0.37,1.99,0.255,8,"0.966869301",0.238,0.408,"-0.966869301",0.018,0.017000000000000015,0.071,0.035,33.2,"31.9",14.963103476720956,-12.200746029384096,33.61979493202015,0.5177664974619289,36.44867248876974,36.57243621351302
319,680755,"Fisher, Braydon",839,38,0.188,0.043,0.255,0.232,0.239,0.267,0.204,13,69,83.3,17.4,2313,87.8,87.05,51,159,160,-0.7999999999999972,5.67,107,148,117,146,297,322,289,"6.701","-6.701","67.9","7.7",80,49,12,0,0,1,22,27.5,9,11.3,2.74141,0.20446,-0.18873,-0.1159,"90.8",150,32.6530612244898,4.081632653061225,2.5,6.47,0.28,0.56,2.39,0.278,2,"-2.100626959",0.294,0.287,"2.100626959",-0.016,-0.01599999999999996,-0.055,-0.028,32.1,"48.9",13.799040258081629,-8.4260218023398,31.218161375140173,0.5605095541401274,39.44085230974786,35.43333939598188
262,592332,"Gausman, Kevin",3038,8.6,0.342,0.263,0.333,0.605,0.391,0.42,0.361,13,38,91.6,13.4,2334,83.2,83.66,34,92,170,0.5,6.6,110,151,114,147,298,324,293,"-3.489","3.489","68.8","7.8",39,35,7,4,0,2,4,10.3,0,0,3.16065,0.14257,-0.14869,-0.09533,"93.4",140,57.14285714285714,11.428571428571429,10.256410256410255,5.74,-2.49,0.7,1.54,0.333,4,"1.331679389",0.357,0.626,"-1.331679389",-0.019,-0.023999999999999966,-0.021,-0.029,37,"37.7",15.666963064439658,-11.21175712079272,32.17265417931188,0.550561797752809,39.415871579122474,37.14808927019155
198,667297,"Nance, Tommy",461,43,0.234,0,0.268,0.234,0.222,0.404,0.347,11,47,90.4,14.2,2744,88.6,88.6,15,96,102,0,6.1,109,149,118,146,294,321,288,"4.881","-4.881","69.6","7.4",50,41,11,0,0,0,7,14,2,4,2.91237,-0.028,-0.07516,-0.03632,"93.0",135,55.00000000000001,17.5,14.000000000000002,5.97,-1.32,0.55,2.34,0.26,7,"-2.465151515",0.368,0.584,"2.465151515",-0.113,-0.10799999999999998,-0.35,-0.182,15.6,"37.4",11.144558365440673,-3.3889714533497335,29.655188561972544,0.6021505376344086,41.02844105494974,30.44481518403587
179,641778,"Lauer, Eric",1690,10.6,0.236,0.145,0.316,0.382,0.266,0.236,0.219,13,55,91,24.7,2254,83.1,82.93,28,96,83,-0.19999999999998863,6.03,112,150,117,148,295,323,293,"-0.583","0.583","69.5","7.5",57,39,7,5,0,1,17,29.8,1,1.8,3.14,0.14663,-0.27536,0.03469,"92.5",192,51.28205128205128,2.564102564102564,1.7543859649122806,6.11,1.83,-0.3,1.84,0.246,1,"0.325698324",0.229,0.318,"-0.325698324",0.017,0.016999999999999987,0.064,0.03,29.2,"39.4",9.934661118050402,-3.988044120544663,33.71796241017356,0.48936170212765956,36.97505315052695,33.359424530357195
141,680704,"Sandlin, Nick",290,48.6,0.182,0.091,0.25,0.273,0.272,0.291,0.21,4,22,83.3,28.6,2602,78.4,78.69,30,60,81,0.29999999999999716,6.73,108,148,114,147,289,320,295,"2.153","-2.153","65.5","8.1",26,16,2,2,0,0,6,23.1,3,11.5,3.10723,0.63624,-1.2244,-0.41149,"92.7",176,31.25,0,0,4.11,-2.63,0.56,2.16,0.308,0,"-1.526950355",0.332,0.292,"1.526950355",-0.028,-0.02400000000000002,-0.019,-0.019,50,"8.5",21.700075211373424,-25.111120434014765,31.351885500618963,0.3620689655172414,39.62886899653769,45.44783280652698
131,669456,"Bieber, Shane",645,20.3,0.175,0.2,0.217,0.375,0.253,0.265,0.219,7,40,89.9,9.7,2611,85.5,86.31,29,79,52,0.7999999999999972,6.73,110,151,119,148,298,323,290,"1.788","-1.788","71.9","7.9",42,25,3,2,0,2,15,35.7,2,4.8,3.17977,-0.07047,-0.10426,-0.07977,"92.7",145,36,12,7.142857142857142,5.61,-1.71,0.72,1.6,0.214,3,"-1.364885496",0.256,0.351,"1.364885496",-0.044,-0.04200000000000001,0.024,-0.012,36.7,"38.7",14.156127001907752,-11.625482434778991,29.960424712999398,0.5066666666666667,40.02740352946926,38.20737988528176
