"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1628,592332,"Gausman, Kevin",3038,53.6,0.23,0.149,0.26,0.38,0.298,0.339,0.263,91,395,91.9,21.1,2260,94.5,94.69,147,870,758,0.20000000000000284,6.65,111,149,116,149,294,324,295,"20.427","-20.427","70.8","6.8",437,313,58,20,0,13,83,19,36,8.2,1.17663,1.40138,0.92487,0.01713,"91.8",200,46.64536741214057,9.26517571884984,6.636155606407322,5.81,-2.43,-0.18,2.42,0.299,29,"-1.25472973",0.328,0.455,"1.25472973",-0.033,-0.029000000000000026,-0.075,-0.041,16.9,"38.4",3.141691545394922,7.988580748400618,33.20069858837352,0.39953271028037385,35.61435888968669,22.770912177323588
782,641778,"Lauer, Eric",1690,46.3,0.194,0.173,0.224,0.366,0.261,0.281,0.219,37,191,90.4,24.9,2241,91.7,91.35,87,422,360,-0.4000000000000057,6.13,109,150,117,147,297,323,291,"8.571","-8.571","70.4","6.8",202,141,20,8,2,7,50,24.8,11,5.4,1.39628,1.32073,0.72583,-0.29274,"91.4",200,41.843971631205676,9.219858156028367,6.435643564356436,6.08,1.76,0.12,2.94,0.238,13,"-1.096035806",0.262,0.388,"1.096035806",-0.025,-0.02400000000000002,-0.022,-0.02,20.6,"39.6",5.067794179957572,8.587264526799062,30.174355393839736,0.5072115384615384,36.56506984120941,24.13172433935928
674,453286,"Scherzer, Max",1392,48.4,0.248,0.241,0.255,0.49,0.343,0.361,0.251,36,145,89.4,28.5,2391,93.6,93.17,63,333,341,-0.3999999999999915,6.24,113,148,116,149,292,324,292,"3.501","-3.501","71.4","6.9",160,115,19,8,0,9,31,19.4,12,7.5,1.27494,1.34696,0.72559,-0.078,"91.7",210,42.608695652173914,15.65217391304348,11.25,5.7,-2.95,0.04,2.81,0.313,18,"-0.519436202",0.316,0.539,"0.519436202",-0.003,-0.0030000000000000027,-0.049,-0.018,18.9,"34.1",6.416022236695373,6.313653264788113,32.106139574580986,0.5555555555555556,35.73150443993745,24.272261868003888
639,670102,"Francis, Bowden",1143,55.9,0.282,0.218,0.274,0.5,0.358,0.351,0.281,44,156,92.3,22.8,2254,92.5,92.99,50,332,307,0.5,6.83,110,148,117,149,291,326,300,"-4.023","4.023","71.0","6.9",174,134,31,2,1,10,25,14.4,14,8,1.16451,1.5256,0.60369,-0.14858,"92.7",186,54.47761194029851,8.955223880597014,6.896551724137931,5.96,-2.13,-0.17,2.95,0.339,12,"0.629577465",0.343,0.457,"-0.629577465",0.001,-0.0040000000000000036,0.043,0.007,15.1,"38.8",7.112125812177417,5.1107661028960685,30.176097038734,0.5555555555555556,36.24556114472556,26.153967685628317
478,621244,"Berríos, José",2592,18.4,0.305,0.168,0.342,0.474,0.378,0.366,0.263,29,95,92.5,26.3,2127,93,92.92,31,208,270,-0.09999999999999432,6.42,111,147,115,150,291,325,299,"-3.325","3.325","70.0","6.8",112,82,18,8,1,2,15,13.4,14,12.5,1.38946,1.26372,0.82814,-0.38195,"91.9",192,46.34146341463415,12.195121951219512,8.928571428571429,5.72,-1.91,-0.17,2.85,0.396,10,"0.695606695",0.364,0.465,"-0.695606695",0.042,0.03200000000000003,0.009,0.012,14.9,"40.3",7.030040876237026,6.838189958483925,30.565257956661746,0.582089552238806,36.956298889469984,24.880141547044097
472,684320,"Rodríguez, Yariel",1172,40.3,0.256,0.115,0.265,0.372,0.346,0.372,0.273,20,78,87.5,13.6,2444,95.7,95.85,37,196,276,0.09999999999999432,6.44,110,149,116,149,294,323,296,"1.167","-1.167","69.5","6.7",96,71,15,3,0,2,8,8.3,14,14.6,1.3721,1.12415,0.34252,0.03043,"91.4",166,40.845070422535215,5.633802816901409,4.166666666666666,5.73,-1.72,0.1,2.93,0.389,4,"-0.247245763",0.403,0.434,"0.247245763",-0.017,-0.014000000000000012,-0.062,-0.026,18.9,"36.1",3.086708174020862,9.806792781221068,31.46361907121639,0.453125,36.56542219090828,22.876920190912767
440,656546,"Hoffman, Jeff",1132,38.9,0.221,0.36,0.196,0.581,0.389,0.403,0.242,19,86,95.4,23,2553,96.4,96.46,55,231,209,0.09999999999999432,6.61,114,149,116,150,293,324,296,"-4.504","4.504","69.9","6.9",103,61,6,4,0,9,26,25.2,16,15.5,1.04475,1.43432,1.00102,-0.13052,"92.1",198,55.73770491803278,22.950819672131146,13.592233009708737,5.79,-2.53,-0.11,2.89,0.343,14,"1.023636364",0.361,0.596,"-1.023636364",-0.021,-0.01799999999999996,-0.015,-0.014,23.8,"37.7",6.191400926354001,4.839058964929909,29.739753341393705,0.5248868778280543,37.201403264607386,24.619205680517123
356,643338,"Green, Chad",718,49.6,0.31,0.32,0.319,0.63,0.416,0.386,0.273,31,100,95.1,26.2,2482,95.2,94.92,44,201,155,-0.29999999999999716,6.41,111,149,119,149,294,324,297,"-8.972","8.972","69.7","6.8",107,78,17,5,0,9,22,20.6,6,5.6,1.00792,1.53354,0.56803,-0.01483,"93.2",200,61.53846153846154,20.51282051282051,14.953271028037381,6.16,-1.81,0.08,2.99,0.355,16,"2.520224719",0.321,0.597,"-2.520224719",0.037,0.033999999999999975,0.033,0.03,21.9,"46.0",7.450017119727267,4.7598502975239505,28.708674137778242,0.5707070707070707,36.56979426909454,25.704367532635217
263,605135,"Bassitt, Chris",2836,9.3,0.22,0.14,0.313,0.36,0.287,0.246,0.191,11,50,85.6,24,2150,91.5,91.53,28,123,140,0,6.32,115,147,115,150,287,320,295,"-0.133","0.133","67.2","6.3",55,33,7,2,1,1,17,30.9,5,9.1,1.79125,0.93293,0.43521,-0.30281,"90.1",186,30.303030303030305,9.090909090909092,5.454545454545454,5.41,-1.85,0.03,3.32,0.291,3,"0.050570342",0.264,0.279,"-0.050570342",0.029,0.02699999999999997,0.081,0.041,22.8,"30.8",1.9076883517851508,14.864548484529548,30.443270211488844,0.38016528925619836,35.162168570906125,20.063134151341703
230,669456,"Bieber, Shane",645,35.7,0.22,0.26,0.2,0.48,0.317,0.361,0.26,11,50,94.5,22.7,2414,92.6,92.95,22,99,131,0.30000000000001137,6.71,114,149,112,149,292,322,293,"2.169","-2.169","69.1","6.6",53,39,6,1,0,4,11,20.8,2,3.8,1.19622,1.48383,0.82622,-0.07491,"92.6",207,51.28205128205128,17.94871794871795,13.20754716981132,5.68,-1.65,-0.04,2.95,0.264,7,"-0.943043478",0.302,0.554,"0.943043478",-0.04,-0.03799999999999998,-0.074,-0.044,22.2,"40.4",6.420004677663842,7.760338571529902,28.277035001354875,0.5816326530612245,36.71064550046756,24.66054702964915
