"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1138,592332,"Gausman, Kevin",3038,37.5,0.181,0.113,0.257,0.294,0.221,0.226,0.193,51,282,82.8,7.9,1691,84.9,85.28,232,601,537,0.3999999999999915,6.73,111,148,116,148,294,324,296,"8.698","-8.698","71.1","8.0",296,182,33,10,2,6,102,34.5,12,4.1,2.8136,0.37752,1.29025,0.00548,"91.5",108,29.67032967032967,6.593406593406594,4.054054054054054,5.63,-2.61,-0.21,1.48,0.214,12,"-0.764323374",0.226,0.287,"0.764323374",-0.012,-0.01200000000000001,0.007,-0.005,38.6,"33.9",17.973317677088456,-17.91814875395522,33.920442942133846,0.4749568221070812,37.53031755284602,40.33490956542477
268,656546,"Hoffman, Jeff",1132,23.7,0.235,0.129,0.31,0.365,0.281,0.219,0.183,20,85,84.7,7.8,1645,89.9,90.45,48,151,117,0.5999999999999943,6.71,116,148,119,151,291,324,299,"-0.692","0.692","71.0","7.8",90,60,13,5,0,2,25,27.8,3,3.3,2.46257,0.36634,1.29269,-0.76672,"91.6",123,26.666666666666668,5,3.3333333333333335,5.67,-2.64,-0.41,2.1,0.278,3,"0.258208955",0.228,0.263,"-0.258208955",0.052,0.05000000000000002,0.102,0.062,31.8,"34.9",15.457999884390494,-11.059636896095514,32.56910917577613,0.528169014084507,38.37832521104196,36.13942944957756
256,670102,"Francis, Bowden",1143,22.4,0.242,0.306,0.265,0.548,0.381,0.376,0.257,15,62,88.5,17.1,1017,82.2,83.07,46,125,131,0.8999999999999915,6.94,109,147,120,149,291,325,300,"-6.442","6.442","69.4","8.1",74,40,8,1,0,6,23,31.1,9,12.2,2.92719,0.46189,0.71471,-0.23204,"93.5",146,47.5,20,10.81081081081081,5.89,-2.15,-0.23,1.58,0.351,8,"2.51640625",0.364,0.507,"-2.51640625",-0.015,-0.013000000000000012,0.041,0.005,36.8,"38.3",19.16195652301883,-19.044970594831003,33.323216747226574,0.4491525423728814,36.54261699193562,42.45455899626303
138,684320,"Rodríguez, Yariel",1172,11.8,0.182,0.091,0.25,0.273,0.221,0.255,0.235,6,33,85.2,1.8,1602,89.3,89.75,12,54,84,0.4000000000000057,6.65,114,148,117,151,288,321,299,"-0.505","0.505","67.6","7.4",35,24,4,1,1,0,9,25.7,2,5.7,2.46333,0.40905,1.28181,-0.9237,"91.5",119,33.33333333333333,0,0,5.87,-1.55,-0.59,1.67,0.229,0,"0.365942029",0.278,0.291,"-0.365942029",-0.053,-0.049000000000000016,-0.018,-0.034,22.2,"42.1",8.660503228957701,-0.027156490474471176,32.892781279125195,0.6415094339622641,39.79095723353768,30.127761549143838
128,605135,"Bassitt, Chris",2836,4.5,0.464,0.036,0.5,0.5,0.433,0.449,0.42,13,28,88.9,4.9,1366,83.6,83.47,10,48,80,-0.09999999999999432,6.37,113,147,116,149,287,322,301,"-3.937","3.937","70.3","7.7",29,26,12,1,0,0,2,6.9,0,0,3.35102,-0.06827,1.19789,-0.90992,"93.9",143,50,11.538461538461538,10.344827586206897,5.3,-2.57,-0.25,1.72,0.483,3,"3.07578125",0.44,0.601,"-3.07578125",0.044,0.04299999999999998,-0.101,-0.016,20.8,"27.4",10.649431145313871,-4.220499496263313,33.47140331751688,0.5625,40.73748979857684,32.597746137666164
63,702056,"Yesavage, Trey",239,26.4,0.111,0,0.25,0.111,0.157,0.196,0.135,2,18,87.2,17.5,1535,84.1,84.06,20,35,28,0,6.12,116,148,119,151,288,324,299,"2.081","-2.081","69.6","8.0",20,8,2,0,0,0,10,50,2,10,2.62651,0.57905,0.94841,-0.46937,"90.7",139,37.5,0,0,7.16,-0.48,-0.4,1.91,0.2,0,"-3.303174603",0.221,0.19,"3.303174603",-0.024,-0.02099999999999999,-0.079,-0.039,57.1,"64.6",20.22715914036031,-21.15384766913888,30.403824874275017,0.42857142857142855,41.00236307426989,42.270314555419006
57,680704,"Sandlin, Nick",290,19.7,0.111,0,0.182,0.111,0.098,0.201,0.209,2,18,89.2,9.2,1723,84.3,84.5,12,33,24,0.20000000000000284,6.59,119,147,119,149,285,320,300,"1.741","-1.741","71.7","7.7",18,11,2,0,0,0,7,38.9,0,0,3.36772,-0.14036,1.03053,-0.64632,"93.0",100,45.45454545454545,0,0,4.42,-2.56,-0.58,1.85,0.111,0,"-3.054385965",0.209,0.252,"3.054385965",-0.098,-0.09799999999999999,-0.141,-0.103,36.4,"14.8",15.072949553051364,-9.856185951189781,34.95699567855034,0.41935483870967744,38.05916742954875,36.11710631523215
56,657024,"Swanson, Erik",128,43.8,0.333,0.667,0.143,1,0.467,0.364,0.324,2,6,86,35.6,1215,83.3,84.21,9,29,27,0.9000000000000057,6.83,107,140,115,139,293,317,289,"-2.477","2.477","71.9","7.8",10,8,0,1,0,1,0,0,2,20,3.05125,0.23236,0.83875,0.00125,"92.1",166,25,12.5,10,6.1,-1.03,-0.41,1.62,0.4,1,"4.423214286",0.4,0.529,"-4.423214286",0.009,0,0.471,0.103,31,"51.2",15.177945592822788,-15.085795683479489,34.28632531161619,0.5,36.82245208330359,38.02922436099933
55,622554,"Domínguez, Seranthony",1109,5,0.111,0.111,0.167,0.222,0.197,0.244,0.176,1,9,78.2,-10.5,894,86.7,87.09,10,23,32,0.3999999999999915,6.51,118,146,117,149,287,320,294,"0.024","-0.024","68.4","7.8",10,6,0,1,0,0,3,30,0,0,2.77891,0.25218,0.73255,-0.48491,"91.2",128,16.666666666666664,16.666666666666664,10,5.74,-1.78,-0.32,1.69,0.2,1,"-0.043636364",0.259,0.275,"0.043636364",-0.065,-0.059,-0.053,-0.047,43.5,"36.0",17.20794195839858,-12.007000231013915,35.89482229482793,0.34782608695652173,39.39254935431281,39.65692902343441
16,621366,"Borucki, Ryan",598,2.7,0.2,0,1,0.2,0.176,0.097,0.104,1,5,95.8,5,1190,84,84.58,7,8,8,0.5999999999999943,6.69,109,151,120,146,297,326,284,"0.32","-0.32","73.9","8.7",5,1,1,0,0,0,4,80,0,0,3.20813,0.03133,1.0825,-1.0825,"95.8",95,100,0,0,5.6,1.15,0.2,1.24,0.2,0,"-2",0.104,0.118,"2",0.096,0.09600000000000002,0.082,0.079,87.5,"30.1",19.9993010599388,-24.67782098577565,33.88902414635011,0.5,41.85570351670805,46.7784252947579
10,606930,"Barnes, Jacob",146,6.8,0,0,0,0,0,0.108,0.119,0,1,75,-1,1148,86.3,86.59,1,2,8,0.29999999999999716,6.59,109,142,114,144,286,326,305,"0.005","-0.005","64.9","7.8",1,1,0,0,0,0,0,0,0,0,2.551,0.525,0.725,-0.565,"88.0",33,0,0,0,5.45,-1.7,-1.02,1.74,0,0,"-0.05",0.119,0.175,"0.05",-0.119,-0.119,-0.175,-0.108,50,"37.4",14.305564437938479,-21.930060935047173,36.701694144034995,1,41.23572264344362,43.77329864768336
