"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
358,689254,"Fluharty, Mason",875,40.9,0.208,0.195,0.235,0.403,0.274,0.248,0.193,16,77,84.2,18.9,2747,81.7,81.99,63,169,189,0.29999999999999716,6.83,110,146,115,147,287,319,292,"3.033","-3.033","68.2","7.8",80,55,9,3,0,4,22,27.5,2,2.5,3.29039,0.17331,-1.37307,-0.25754,"91.5",157,27.27272727272727,7.2727272727272725,5,5.69,3.22,-0.35,1.96,0.237,4,"-0.847206704",0.223,0.353,"0.847206704",0.015,0.013999999999999985,0.05,0.026,37.3,"36.3",16.28159461373971,-13.388235532335896,31.303615710829728,0.4939759036144578,40.65174125139543,39.846678429874295
162,605135,"Bassitt, Chris",2836,5.7,0.195,0.146,0.333,0.341,0.253,0.193,0.161,8,41,80.7,20.8,2335,72.6,71.94,44,86,76,-0.6999999999999886,6.22,109,150,116,147,294,318,289,"2.741","-2.741","67.2","7.9",45,22,4,3,0,1,20,44.4,3,6.7,4.45272,-0.05975,-1.60469,-1.17617,"89.4",142,13.636363636363635,0,0,5.15,-2.27,0.5,1.99,0.244,0,"-1.691975309",0.215,0.21,"1.691975309",0.034,0.028999999999999998,0.131,0.06,51.2,"25.7",20.43271345631356,-28.337855844305516,31.05729593148331,0.37349397590361444,39.108957947212026,48.839439526473946
96,622554,"Domínguez, Seranthony",1109,8.7,0.158,0.105,0.231,0.263,0.227,0.161,0.097,3,19,79.7,31.4,2528,85.7,85.81,16,38,58,0.09999999999999432,6.37,106,148,115,145,295,319,283,"0.709","-0.709","66.0","7.6",21,13,1,2,0,0,6,28.6,2,9.5,2.76802,0.33812,-0.83635,-0.7626,"89.5",165,15.384615384615385,0,0,5.55,-1.98,0.46,2.07,0.238,0,"-0.738541667",0.183,0.152,"0.738541667",0.061,0.05499999999999999,0.111,0.066,42.1,"32.3",16.08000842141452,-15.198208150989919,29.806533812224693,0.5263157894736842,41.632787304931036,39.88413179864464
91,677865,"Bruihl, Justin",229,39.7,0.318,0.227,0.375,0.545,0.381,0.296,0.254,7,22,84.5,21.7,2597,78.4,78.51,9,36,55,0.09999999999999432,6.81,108,147,116,148,289,322,293,"-1.145","1.145","70.5","7.6",23,17,4,2,0,1,5,21.7,1,4.3,3.92615,-0.15629,-1.62945,-0.4367,"90.7",155,23.52941176470588,11.76470588235294,8.695652173913043,5.04,3.36,-0.12,2.21,0.348,2,"1.258241758",0.286,0.386,"-1.258241758",0.064,0.062,0.159,0.085,25,"29.2",16.519857135457062,-12.894161964667935,33.15461039907035,0.5294117647058824,36.94735730969066,38.179774115446
62,554340,"García, Yimi",364,17,0.143,0.214,0.125,0.357,0.241,0.342,0.263,2,14,89.2,5.6,2778,85.7,84.82,11,26,36,-0.9000000000000057,5.85,109,151,115,147,296,322,295,"0.662","-0.662","68.7","7.5",15,9,1,0,0,1,5,33.3,1,6.7,2.52742,0.59435,-1.14129,-0.8229,"92.6",119,33.33333333333333,11.11111111111111,6.666666666666667,5.2,-2.67,0.36,1.96,0.2,1,"-1.067741935",0.312,0.494,"1.067741935",-0.12,-0.11199999999999999,-0.137,-0.101,42.3,"27.0",13.77496995053675,-8.10101886650165,32.629579319285895,0.46153846153846156,40.76643753723636,34.827337391513176
60,622253,"Tate, Dillon",139,43.2,0.154,0,0.286,0.154,0.175,0.218,0.186,2,13,85.3,28,2455,79.3,78.86,8,26,34,-0.3999999999999915,6.13,107,151,116,148,295,322,295,"1.609","-1.609","71.1","7.9",14,7,2,0,0,0,6,42.9,1,7.1,3.2515,0.39867,-0.75,-0.28767,"90.3",131,14.285714285714285,0,0,5.06,-2.17,0.23,2.38,0.214,0,"-2.681666667",0.244,0.23,"2.681666667",-0.032,-0.03,-0.076,-0.043,30.8,"19.0",19.189931686759174,-16.867813762630565,27.763316509232297,0.4230769230769231,41.67596091685474,40.86925958242947
43,687922,"Lucas, Easton",438,9.8,0.429,0.429,0.5,0.857,0.543,0.247,0.212,3,7,88.6,14.4,2341,81.1,80.61,2,17,26,-0.5,6.28,114,149,116,150,285,322,306,"-1.507","1.507","70.5","7.8",7,5,2,0,0,1,2,28.6,0,0,3.38605,0.12186,-0.95953,-0.5107,"89.8",169,40,20,14.285714285714285,6.1,2.38,-0.13,2.21,0.429,1,"3.504651163",0.212,0.371,"-3.504651163",0.217,0.217,0.486,0.296,11.8,"47.1",12.64482120016246,-12.19627550941837,29.14964993811517,0.5882352941176471,40.529511163244585,36.4664163571917
28,605513,"Turnbull, Spencer",125,22.4,0.4,0,0.4,0.4,0.409,0.479,0.446,2,5,92.5,5.4,2737,83.3,82.89,4,11,17,-0.3999999999999915,6.2,108,152,117,148,295,322,289,"-0.476","0.476","59.6","7.8",6,5,2,0,0,0,0,0,1,16.7,2.86536,0.44393,-1.0575,-0.91179,"93.1",177,40,0,0,5.47,-1.82,0.91,1.95,0.5,0,"1.7",0.538,0.553,"-1.7",-0.046,-0.038000000000000034,-0.153,-0.07,36.4,"21.7",12.331315737300542,3.084411916403792,34.26339427108008,0.5454545454545454,47.14685137745084,30.5542241330754
10,596271,"Lawrence, Casey",276,3.6,0,0,0,0,0.241,0.346,0.157,0,2,63.2,1,2596,77.7,76.88,0,3,7,-0.7999999999999972,6.04,112,151,117,147,292,323,297,"0.189","-0.189","73.4","8.5",3,2,0,0,0,0,0,0,0,0,3.453,0.37,-1.087,-0.729,"89.2",200,0,0,0,5.05,-2.7,0.03,1.78,0.333,0,"-1.89",0.438,0.209,"1.89",-0.157,-0.10499999999999998,-0.209,-0.105,0,"19.2",24.25439986977145,-22.21956285878257,36.097741559562465,0.3333333333333333,38.04700468009351,46.89272591046305
8,663992,"Lovelady, Richard",222,3.6,0,0,0,0,0,0.004,0.005,0,2,83.1,45,2242,83.8,84.57,2,3,5,0.7999999999999972,7.17,106,148,108,149,282,326,302,"0.439","-0.439","67.2","8.2",2,1,0,0,0,0,1,50,0,0,3.04125,0.25125,-1.15625,-1.15625,"88.0",261,0,0,0,5.11,2.45,-1.03,1.79,0,0,"-5.4875",0.005,0.005,"5.4875",-0.005,-0.005,-0.005,-0.004,66.7,"17.9",19.386170473317463,-21.187926072431782,29.140135938677812,0.6666666666666666,47.694321157400175,45.723175874413606
